prdtypecode,categorie
10,Livres d'occasion
40,Jeux vidéos
50,Accessoires jeux vidéos
60,Consoles de jeux vidéos
1140,Figurines et produits dérivés
1160,Jeux de cartes à collectionner
1180,Figurines à collectionner
1280,Jouets enfants
1281,Jeux de sociétés
1300,Maquettes et jouets voitures
1301,Chaussettes bébés et accessoires de jeux
1302,Accessoires extérieurs
1320,Puériculture
1560,Mobilier et décoration d'intérieur
1920,Linge de maison
1940,Alimentation
2060,Lampes et décoration de la maison
2220,Animalerie
2280,Journaux et revues
2403,Séries littéraires et magazines
2462,Consoles et accessoires Jeux videos
2522,Papeterie
2582,Décoration et accessoires de jardin
2583,Piscine et accessoires
2585,Outils et accessoires de jardinage
2705,Livres
2905,Jeux vidéos en téléchargement
